title,text,rating,review_length
Not sure why this has good reviews. My devices had a hard time connecting,This devices brought my wifi network to its knees. Not sure why this has good reviews. My devices had a hard time connecting. And even if my devices weren't connected it would hog a bunch of bandwidth and slow the whole network. I personally would just buy an AirPort Extreme. That solved range problems for me.,1,311
Works but corners crack,"Works well, but the corner of the plastic cracked and is broken after a month or so. I think at least 2 of the plastic corners are cracked now. still works but wish it was higher quality.",3,187
legit,legit.  love them.  I play with 1 in fully and 1 ear in 1/2.  really nice.  good product.  buy rechargeable batteries to go with them you'll save $$$,5,149
marginal sound quality,"this really deserves 3 stars.  its not terrible, but its not great.  first is sound quality.  its not terrible.  2nd is limited distance.  its not terrible, but not great.<br /><br />I wish I had found a better product.",3,219
Five Stars,These work great for 8x10 frames.,5,33
... stronger WIFI to my upstairs level & it works great! Great value for the price,Bought to get stronger WIFI to my upstairs level & it works great! Great value for the price!,5,93
My kids love the wi fi streaming options,This is the 3rd Sony Blu Ray player I have bought & have been impressed with them all. My kids love the wi fi streaming options.,5,128
Love Otterbox cases,Love Otterbox cases. These have protected my 7 & 9 year old's IPods with lots of drops & wear & tear.,5,101
Five Stars,great product. high quality. fits perfectly.,5,44
Four Stars,Pretty cool!!!<br /><br />Thanks Amazon.,4,40
NO GLUE JUST SCREWS,It came in quickly.  My son and grandson put it together for me in about 3 or 4 hr.  Time out for dinner and couple of beers.  Back to putting it to finish and test it out.  TV hung perfectly.  Fit right in the same corner a much smaller stand was in Clean looks with the wires now.,5,282
Good choice,"Just a normal cable, works great for my external monitor!",5,57
Good alarm clock,"I love this alarm. Bright, nice tone. The system is a little confusing but the manual helps a lot. Once you get the hang of it you'll love it. It's a nice gentle way to wake up.",5,177
Works great!,"Works great with my pixel 2, I can charge quickly while listening to music.",5,75
Great for music/podcasts and receiving calls,Works flawlessly! Great for music/podcasts and receiving calls. The microphone isn't set up that close to my face but still captures my voice clearly.,5,150
Nice lightweight sleeve,I am not sure how much protection this provides - certainly less than a camera bag - but it will protect against scratches and small bumps. It's fairly thin. It fits my Canon EOS Rebel T6i w/ kit lens very well - like a glove.,5,226
better than I expected!,"Awesome product, fits well on my mac. Would definitely recommend.",5,65
Did anyone use this for a recessed TV mount?,I believe the electrical boxes are made especially to fit in a recessed (in wall) TV mount fixture. That is perhaps why it is made narrower. In the comments I am not seeing anyone using it for this. I would love to hear if someone used it placed inside a recessed mount and how it worked.,4,288
Don't know why I didn't get one of these years ...,Don't know why I didn't get one of these years ago..it's saving me $9 a month rental fee i was paying Comcast,5,109
Great portable monitor,"Worked great for a vacation monitor. Had no issues with my MacBook. Good resolution, no dead pixels. Very easy to carry around",5,126
All rounder!,"This has been a great headset for video conferencing all day. Comfort is great, mic quality is great and when I do play music it sounds great too.",5,146
"Great, simple, strong",Can easily hold 2 pairs of headphones and looks great!,5,54
A great device to make any headphone wireless,Sound quality of my dt 990 much improved compared to just hooking up to my phone. Would recommend to everyone. Small and easy to use,5,132
Big hit at lunch,These are incredible value for the money. All of the included parts have worked for a few months and are still in great quality. We use them at lunch for an hour each day with smash.,5,182
Easy and plentiful,"Stick great to my desk and provide ample spaces for all of my cords. The color coding is more useful than I thought originally. Since each one has two spots, I had enough for my desk and bed night stand.",5,203
Great RAM,"This pair is fantastic for the price I paid(just over 50$) . There are a little long and tall which forced me to move my two fans around them, but that is more case design flaw than anything. I haven't had any issues with them and have used PNY for a long time.",5,261
good and cheap,Had for about a month now. Still running strong and keeping my twc ultimate internet on all 8 of my houses devices. Goes through three rooms and I'll lose just a small fraction of speed (10mbps loss for a ranch style house).,4,224
Does what it is meant to do,"Very easy to configure, fits my 11.6&#34; Alienware very well. I can focus air on my Gpu and WASD keys to prevent from getting hot. Easy recommendation to anyone who needs a cooler for intense applications. My WASD keys barely get hot and my Gpu runs much more stable.",5,268
Works great with my Samsung Galaxy Pro S5e,Everything works great on the hub with my Samsung Galaxy Pro S5e.,5,65
At first seemed DOA.,Must visually confirm that connector is fully extended by looking at slide groove.  Mine seemed DOA until I realized that  it wasn't making electrical connection.,5,162
Protects my power supply from small screws,Any small screw dropped in my computer case seemed to end up inside the bottom mounted power supply.  This filter will keep them out.,5,133
5 stars but be careful that you get what you paid for,Bought four of these to use in a RAID.  All four of the boxes had PN: 98D648 - 550 on the box.  When I installed one of the drives it was smaller than the others.  PN on smaller drive's label was 98J146 - 308 and it was called a Barracuda 7200.10.  Larger drives were Barracuda 7200.11 9BX154 - 303 on the drive label.  Returned it and will check the replacement when it arrives.<br /><br />7/3/08 Received replacement drive and it was Barracuda 7200.11 9BX154 - 303.,5,467
Cute for photos!,Thin material but perfect to hang for a photo backdrop. Very happy!,5,67
Arrived damaged,Arrived damaged,1,15
Great,Fast charging,5,13
As good as advertised,This product is as good as advertised. The cost is attractive; considering you will likely replace them again in the future. I’ve attached a pic of the old and newly installed pads for comparison.,5,196
Good cord,Good cord. 15ft is exactly what I wanted.,5,41
Great cover and protection,Fits my MacBook Air perfectly! Has a soft touch. Great product.,5,63
Don’t buy this product,"DO NOT BUY THIS PRODUCT!! The first time I zipped the first pouch, the zipper broke. I tried another one, same thing,  zipper broke on the first try. HORRIBLE!!!",1,161
Disappointed,Not very accurate in tracking steps taken.  Wrist band started coming off after 3 months of use.,2,96
Five Stars,Works great. Easy to install.,5,29
Very Disappointing,Very very slow processor. Disappointing.,2,40
Great headsets,Great headsets. Comfortable. Great sound quality.,5,49
Great Case,"Great case. Fits both the iPad Air & Air 2. Comes with a removable inner lining. When removed it fits the iPad Air. Looks good. Bought it in December 2014, still in great shape.",5,177
Great Product,AWESOME sound!  Easy to install. The wireless subwoofer makes it easy to place any where in the room.,5,101
Great Product,Excellent sound. Easy to install.,5,33
Worthy Purchase!,"Arrived sooner than the original really long estimated date.  Packaged well.  Remote wall bracket included.  No ceiling or wall mounting hardware included for the screen.  Very quiet operation. Moves very slowly up/down, but no big problem as the projector is usually getting up to temperature.  High vinyl odor, but that's fading, since installed 4 days ago. Does hide-away nicely and seems unobtrusive.  Worthy purchase.",4,422
This thing has a mind of its own…..,This cameras seems to focus on what “it” wants. I will try to capture and watch an area by moving the cameras visual area using the app but it will quickly return to another area. Not even the same area as was before I decided to look elsewhere. It tends to bounce anywhere it’s little heart desires causing me frustration and non use.,2,335
Easy connect,A little crackly at times but not that noticeable. Just turn the volume up. Easy connect. Use everyday,5,102
Junk,"To me, this was a waste of money. Not useful on a plane or really anywhere. Too short, once bent, leaving no surface space so phone wants to fall off. Don’t buy it. Save your money.",1,181
Good purchase,Works great. Son uses it to hold Beats and Jaybirds. Traveled well and protected items.,5,87
Happy with purchase,Works great. No complaints!,5,27
"Big,sturdy and easy zippers","My son likes it,holding up well considering how much weight he puts in it.So far so good!",4,89
Five Stars,love them so much thank you,5,27
Five Stars,awesome,5,7
Great quality and fit!,Very sturdy and well made. My AirPods fit snugly into the case and the cases latching button is magnetic and closes easily and is very secure. The charging light is visible as there is an opening for it built into the case so you can see when it is light up red or green and the charging port is accessible so you don’t have to remove them to charge them. They clasp onto my purse sturdily and I have no worries about them becoming dislodged from my purse and getting lost. If you want to use a different clasp it’s interchangeable with one of your choosing of the same size. Great quality for a great price. HIGHLY RECOMMEND!!,5,627
"Decent, but the design is flawed.",Somewhat disappointed. Works as advertised except this desk is not wide enough and therefore your computer is not centered for typing. I’m order to do my homework I have to set it up as shown in my photo (move computer to center of desk instead of where it’s supposed to sit) which leaves little room for my mouse to be used. This is the only flaw I am seeing so far.,3,367
Five Stars,Gift,5,4
Flimsy stamd,The projection screen itself is not wrinkle free and the stand is super flimsy. I'm just going to end up using some heavy duty velcro strips to hang the screen without the stand.,2,178
Manufacturers defect and terrible customer support.,Just brought this TV in March and the panel is screwed. Turns out it's a manufacturers defect. Trying to get this TV replaced or repaired has been HELL!  I had been calling support since March and finally got through at the end of July. I've been transferred to 3 different departments just to get the exchange finalized. No one has made any effort to contact me about when or how this exchange will take place. Terrible!,2,421
Very nice! I love my new larger screen Kindle,Very nice!  I love my new larger screen Kindle.,5,47
Love it! It fits my Chromebook perfectly,Love it!  It fits my Chromebook perfectly.,5,42
Horrible. It did not amplify anything,Horrible.  It did not amplify anything.  All I heard was a buzzing sound.  I'm so disappointed.,1,95
Great quality and more stations than bunny ears,I purchased this for my Nana who is 94 yrs old and doesn’t have cable. It was simple to set up (follow instructions on TV settings to setup) and my nana now has more stations and way better quality visually as well as for listening because the stations no longer go in and out! Definitely worth the money.,5,305
Excited to swim with these!!!,Pretty cool design...still figuring out how to get the mp3s added for swimming!,5,79
Easy to install,"I needed this for work and it was easy to install, I use it daily.  Have only had it a few weeks but so far, so good.  It comes with a long cord too which is a good feature.",5,173
Recommended,Super happy and got it on promo! Would recommend,5,48
Dot,Love it,5,7
Double Din Car Stereo Android 9.0 Quad Core 7 Inch HD,"came as advertised; delivered before date-of-delivery; good value for money<br />radio standard, depending on your car, may need install kit for your car;<br />I needed kit for my 2013 Toyota . . .<br />suggest you measure area opening of dash where radio is to be mounted",5,272
Carxtc Double Din Install Car Stereo Dash Kit for a Aftermarket Radio,"says ""it fits Aftermarket Radio Fits 2009-2013 Toyota Corolla"": my car is a 2013 Toyota Corolla, but it didn't work for me: side pieces did not bolt to my radio: I think it is because my radio mounting holes are not the same as the kit: my radio is one that the kit does not work with. . .<br />nice kit tho. . .",3,312
ASURION 3 Year Portable Electronic Accident Protection Plan with Tech Support  $20-29.99,nice to have an accident plan just in case of the unexpected . . .,4,66
ASURION 2 Year Portable Electronic Accident Protection Plan with Tech Support $150-174.99,good to have security just in case: not expecting any trouble tho. . .,4,70
TOTO A6 Double Din Android Car Navigation Stereo with Dual Bluetooth - Standard A6Y2710SB,"excellent radio: even tho I worked at an auto repair shop, installation was easy even for a novice user:<br />customer service is awesome: I had not registered my radio yet and they replied to my question within a<br />week or so . . . .<br />sorry no picture, because I'm waiting on a radio dash install kit for aftermarket radio: right now there is a gap on the sides, but that does not bother me nor does it affect the operation of the unit. . .<br />there are several models of the A6; depending on what options you're looking for, one of the A6s will have it<br />I recommend purchasing this radio . . .",5,608
Double Din Car Stereo GPS Navigation for Car 6.2 Inch Touch Screen,this item was gift; friend likes it so far; still testing. . . . .likes the knob controls . . . .,4,97
"Dual Electronics XDVD276BT 6.2"" LCD Touch Screen Double Din",easy install. . . . all options worked. . . .<br />just screen is a little dark. . . even more when lights are turned on . . . . .<br /><br />I would recommend buying this unit,4,176
good product at a decent price,a nice set of assortment screws for computer . . .,4,50
assemble as instructed,this was a gift / my friend says he liked it / it was what he thought it was / he likes the idea of open computer . . .,4,119
use as intended,looks like original / wouldn't tell the difference if it didn't say replacement . . .,4,85
good product at a decent price,haven't used any yet. . . .needed some extra cables when I'm ready to install more SSD's. . .,4,93
good product at a decent price,perfect fit in 3.5 slot. . .the dual holder allows to install extra SSD any time. . . or you can go with a HDD for more storage space,5,133
good product at a decent price,"easy install in my HP computer, perfect fit/ no problems with clean install win 10/very satisfied. . .",5,102
good product at a decent price,using this addlink in a desktop and my laptop / easy install. . . perfect fits. . .did help increase speed of my computers. . .,5,127
supernight bluetooth keyboard,this was a gift. . . he said he liked it. . . . .that's all the info I have on this item. . :(,3,94
Dual dash cam,"wife wasn't satisfied with overall operation. . . .I liked it tho, but had to put it back in the box",3,100
Wavlink,used once to test it out. . . . .worked great. . . I liked it. . .,5,66
16g cork usb,it worked fine / great conversation piece too!,5,46
Five Stars,perfect item for a novices user as I am. . .,5,44
Five Stars,Great hard drive for the price! Installed with no issues in wife's Dell computer: She's very satisfied:,5,103
Five Stars,Great little device!,5,20
Four Stars,Good warranty!,4,14
Glad I browsed through Amazon and found it,Works perfectly: Glad I browsed through Amazon and found it:,5,60
Three Stars,"It looked okay, but the camera was faulty: had to return item :(",3,64
Five Stars,Great camera! i am really pleased: Just what I was looking for. . .,5,67
Three Stars,good to know I have if needed. . .,3,34
Five Stars,good wiring kit; everything we needed to install amp and subs,5,61
Five Stars,perfect fit. . . this shade of blue matches the lavender tablet,5,63
GOOD ITEM.,WORKS AS PROMISED. . .GOOD ITEM. . .,4,36
Five Stars,WORTH THE MONEY; VERY GOOD BACK-UP AMP; LIKE ALL THE EXTRAS. . .,5,64
TP-LINK TL-WR740N WIRELESS ROUTER,tried two other routers: they worked for a while but begain to loose their continuity: I read upom the TP-LINK Router and liked the specs and the price wasn't bad either: connected the first time and have not expirienced any problems even when we lost power... router came back up with noooo problems,5,300
6ft RCA Cable,i use this cable to connect my satelite box to the tv: works great: clear picture and sound: even had a little bit extra which is good,4,134
6ft Gold Plated S-Video Cable,I use this in conjuction with the HDE VGA RAC/S-Video Adapter: did not have to re-arange any furnishings in my bedroom: this cable allowed me to connect my pc to the tv: good clear picture,4,188
HDE VGA RCA adapter,"sometimes in my room I watch movies on my computer: this adapter allows me to watch on a bigger screen: since the tv I'm using is an older model, this adapter is perfect: clear picture",4,184
16ft USB booster extension cable,"due to the location and arrangement of my computer components, this cable was a life saver. my printer is kind of far away from the computer: this cable was perfect. . .",5,169
male to male svga cable,great item for the price; already had in mind how I was going to run cable: works like a charm,5,94
15ft VGA extension cable,used this cable to connect office wide screen tv to my computer. .it worked perfectly. clear picture. did what I expected it to do,4,130
2 Display Spitters,awsome. . .just what I was looking for. . .came on time; works great; going to have to order more for friends,5,109
6ft VGA to RCA,"this was a perfectly good item, but I could not use it: I ordered the wrong cable. . .It came on time as promised. I gave it to a friend, and he is happy with it. . .",3,166
ASUS MONITOR,"MONITOR IS EVERYTHING i THOUGHT IT WOULD BE AND MORE. REALLY LIKE THE ""PICTURE-N-PICTURE OPTION. NO DAMAGE IN SHIPPING AND ARIVED WITH IN THE TIME SPECIFICED. I WOULD HIGHLY RECOMMEND THIS MONITOR FOR ANY COMPUTER SYSTEM ESPECIALLY IF YOU USE YOUR COMPUTER TO WATCH TV OR MOVIES. . .ONE TINY LITTLE THING THOO; THE MONITOR SPECKERS ARN'T THAT GREAT, BUT I USE OTHER SPEAKERS ANYWAY. A GOOD MONITOR FOR THE PRICE. MY FRIENDS ALL THOUGHT IT COSTS MUCH MORE.",5,455
Go for it if you like legos,"Good stuff. Literally a lego fitted to be a key cap. Probably wouldn’t spend another $25 on it for myself, but good craftsmanship.",5,130
... for a birthday and I already know he will love it because I sure do,Got it for my boyfriend for a birthday and I already know he will love it because I sure do.,5,92
Five Stars,Perfect condition. Would recommend to anybody.,5,46
Perfect,This is exactly what we needed for our new Arlo Cameras and the best price!,5,75
Bad standby life,These batteries during use have a good life. Standby life is poor. They discharge in 7/10 days of standby. For a recreational photographer this limiting.,3,153
Refurbished and satisfied,My granddaughter is overjoyed!,5,30
VERY EXPENSIVE,My Grandaughter was VERY HAPPY,5,30
Five Stars,great gift from wife.,5,21
One Star,ordered wrong size. Returned!,1,29
Five Stars,Just what was needed.,5,21
Did not fit,"This cover does not fit my Kindle, so I guess Im stuck with it! Not very happy with this item.",1,94
You get what you pay for I guess.,"I'm giving it three stars because, although the case and keyboard cover are good (I really like those), the sleeve has already started ripping. I haven't even had this for a week. It's kind of disappointing actually. I love the colors of the case and keyboard cover though! But for the sake of the sleeve, which I thought was essential, I have to give it a sleeve.",3,364
These do not stick - pretty much useless.,These do not stick.  They fall off almost immediately.  Pretty much useless.,1,76
Great little gadget!,Works exactly as described!  👍,5,30
Good TV for the price.,The tv overall is really good.  Good picture and better sound quality than I expected.  The user interface is quick and responsive.  I did get a little frustrated with some of the initial set up  - but nothing too bad.  The remote seems a bit on the cheap side - but it works well.,5,281
These work Great.,These are the best and most reasonably priced earbuds I have ever had.  I use them when I run and they consistently perform well.,5,129
Great picture - not so great mic,Great picture quality - but the mic doesn't work as well.,4,57
Great small speaker.  Good sound for its size.,This is a great little speaker.  Has really good sound for its size.  Very good battery life as well.  There are more expensive speakers available that have better sound quality - but this one is really good for the price.,5,222
Great Buds for use in an office or other similar locations.,"These are great inexpensive ear buds.  My only complaint would be  lack of bass in the music.  Other than that, these are a good low-cost selection for some wireless buds.  I use mine every day at work.",4,202
This thing is really great!!!,Easy to use - great battery life - pretty good sound for such a small speaker!  What else could you want??  Definitely worth the money.,5,135
Great tablet!,This replaced an old Ipad that I had and it is so much better.  Really fast and has a crisp/clear display,5,105
High quality and sturdy.,Exactly as advertised.  Worth the money.,5,40
Great Product,This is the second one of these I have purchased over the years.  I workout a lot and my Ipod goes with me every time.  This case stands up well to a lot of use.,5,161
Awesome Sound Quality,The ear buds take a little getting used to  -  but the music quality is OUT OF THIS WORLD!!  Awesome!,5,101
"My money well spent ,,","I like nice n thickness, and compact  iam going to buy me another one.",4,70
Scary,One of the chargers gets scary hot. I can’t even use it. The chargers are inconsistent and do not always work. When they work it’s a very slow charge.,1,150
Customer service is not okay,Set up is very easy. The video is pretty good. I paid for a year of CAM Plus and I am still only getting 12 second videos. The 12 second videos tend to be the person walking away. Not helpful. I did a chat with Wyze support. Their suggestion did not help. I called and talked with support. Their suggestions did not help. He told me he would send a request to “tier 2” and they will contact me by email. They never did. It’s been a full week. Customer service is a huge deal. I don’t want this camera if I can’t get more than 12 seconds of video.,1,546
Wonderful,Takes beautiful pictures and easy to use. Came with tons of fantastic products.,5,79
Great headphones,"Got these a few years ago, loved them then and now. Great sound, battery is great, all around 5 star product!",5,109
Good charger,Hopefully theses last longer that the last two sets from different companies so far so good,5,91
Bad customer service,Stopped working in less than o month. Amazon was not helpful in getting replacement wanted me to send it back for repair even though it was listed for return for another month. Bad bad customer service,5,201
Makes reading easy,When I use the kindle app it’s perfect for holding my ipad,5,58
Works great,Product was as it was described. Didn’t come with earbuds like a brand new iPad though,5,86
Five Stars,Easy to use good sound quality nice and small perfect For the deck,5,66
One Star,Crap,1,4
"good quality, well detailed. note: I glued it to a disc wallet",i made no attempt to iron it on or sew it to fabric. looks great though,5,71
Works great for 1080p PC gaming. 4K remains a mystery to me,"do discernable lag in spite of 30' length<br /><br />good audio and video quality, however 2160p and htz over 60 are both capabilities impossible for me to test<br /><br />widthstood being nailed to baseboards, over 2 ethernet cables, with 3/4"" plastic staples",4,260
Screen protectors,"As long as you follow the directions EXACTLY, it’s easy to apply",5,64
"CIYUPE Tablet Pillow Stand, Tablet Holder (grey)","CIYUPE Tablet Pillow Stand, Tablet Holder Dock for Bed with 6 Viewing Angles, Compatible with iPad Pro 9.7, 10.5,12.9 Air Mini 4 3, Kindle, Galaxy Tab, E-Reader and Books (Grey). It is great at holding tablets and phones at whatever angle of its 6 possible positions is most appropriate. Comfortable to use, takes pressure off hands/wrists when using",5,350
Apple charging wires,"The multiple lengths come in handy for different uses. The 3 foot wire is perfect for in the car while the 6 &.10 foot wires are perfect for the desk, couch, or bed.",5,165
Pink fire wires,"1of the 3 died immediately after purchase. It lasted maybe a week. The others are fine & I haven’t had a problem with them. But I bought 3 because I needed 3, not 2.",4,165
Perfect for our cruise & beyond.,I would definitely recommend this for a cruise or a bedside table. We are continuing to use it at our charging station.,5,119
A great product,Fits great. Highly recommended this durable product,5,51
Great cover.,It works like it should. Love the color.,5,40
Charging cord for ipod.,Needed a new cord. And it works.,5,32
Right size for kids Kindle,After I received the butterfly bag I was not sure if my great niece's Kindle with the big rubber protector would fit. But it fits perfectly in this bag.,5,152
Canon PowerShot ELPH,"It will work just fine. But not for the camera I got it for, it's too big.",4,74
Gave it as a gift to my great niece to put her new Kindle Fire for kids ...,Gave it as a gift to my great niece to put her new Kindle Fire for kids in it. She already had Kindle in a rubber cover but it fits all of it and her charger. She loves it.,5,172
awesome colors,can change for any holiday or time of year. holding up and fit nice. sime issues with them coming undone but not with all of them.,5,130
Good quality,Perfect,5,7
Returned,"Did not fit, returned",2,21
Returned,"Unfourtunatly this did not fit, returned",1,40
Good buy,"Works as expected, holding up good, no issues, good buy",5,55
Great tv it’s just too wide to fit on the chest I was going to set it on,I  returned it because it was too wide for the chest I was going to set it on….,3,79
Smaller and lighter than expected.  Nice,Exactly as described,5,20
Exactly as described,As described.,5,13
Looks and works Great,Very small and unimposing support. Looks and works great!,5,57
Worked great for Chromecast with Google TV.,I bought this for adding wired Ethernet to the Google Chromecast with Google TV and it works perfectly. No more lagging connection.,5,131
Amplifier doesn't seem to do much,"Using this over rabbit ears on my LG OLED and it does pick up some channels but almost all of them have weak reception. Even with the amplifier on high it doesn't do a great job. Could be the location, I'm gonna try to put it in the attic and see if it helps.<br />Does work for picking up NXTGEN boradcasts so that's pretty cool. Only get 2 if the 12 channels available though.",4,378
Protects from basic drops but it will not save it if the remote is thrown.,"If your kids throw things this will not save the remote.<br />We have dropped it a few times and its fine. But when it was thrown at the stairs it still cracked.<br />Basic protection, but not enough to save from angry children!",4,228
High quality and works very well.,"This is much higher quality than expected. Doesn't sag like other long extension mounts I've used.<br />It's a bit difficult to extend and retract, but I think that's a good thing so it's not flopping all over.<br />Highly Recommended!",5,235
"Perfect for PS5, even includes slim heatsink.","Best price drive and it's FAST.<br />Moved 450GB of games from internal storage to this M.2 in 6 minutes 47 seconds.<br />PS5 rated read speed at 6257MB/s when it started. A bit slower than rated, but still should be sufficient for PS5 usage. I've had 0 issues so far.<br />The PRICE IS UNBEATABLE.<br />Let's hope the longevity doesn't match the price. But so far so good.",5,373
Doesn't have NFC as stated!,"Works well enough, microphone and pairing work well. But does not have NFC.  This would be ok if the price wasn't so high and it wasn't advertised as having it.<br />I contacted their support and was told to reach out in Amazon through seller contact.<br />Once I did this I told them that I received a MR21GA VS MR21GC, the only difference being the NFC functionality.<br />They said they function the same and to request a refund if I am not satisfied.<br />I will be doing this. The NFC functionality is a big portion of the remote and it states a different model. Will be leaving seller feedback as well.<br />Be careful folks.",2,631
Too large for any speaker I have in my arsenal,I have 2 JBL and an LG portable Bluetooth speaker and this was too large for any of them. One of the JBLs was barely long enough to be held by the straps but I didn't feel confident in how secure it was. The other 2 were just 2 short. I didn't think they were small speakers but apparently they are too small for this Mount,3,323
Used this to add a better subwoofer to my soundbar and it works perfectly!,"I have an LG SK9Y and I ran the speaker level inputs from the stock subwoofer out of that and into one channel of this device, then ran a short Shielded RCA to the LFE input on the Klipsch 12"" 450 watt home audio subwoofer and it works wonderfully.<br />The sound bar was miles beyond the amount of bass that was provided by the stock 100 watt sub. I did lower the Sub output to -6 so that I don't feed too much power to the converter and it works great.<br />It's not the most elegant setup but it's outta site in the corner behind my couch and it sounds superb so I don't care.",5,579
Solid sub with astounding bass!,"This replaced a 12"" JBL venue sub from about 15 years ago. I have always liked Klipsch but this is the first home audio product I have owned of theirs and I am super happy.<br />I use this in conjunction with my LG SK9Y sound bar. I removed the speaker cables and fed them into a Low level line converter and that runs to the LFE input on the subwoofer.<br />It works wonderfully and really fills in as much as or better than the Venue did before. MILES BEYOND the stock 8 inch on for the sound bar.<br />I would recommend this sub for any home audio system. It's not small though so make sure you have room.",5,608
Make sure to leave room for sag....,"I installed this in the back of a built in. Had 24"" to clear and it did fine, but it sages down about 1.5 inches and I wasnt expecting that much. I left that much clearance luckily, so it barely rubs, but it can block the IR since I have a sound bar wall mounted also.<br />TV only weighs about 25 lbs so I have no idea how bad it would be if you used the max capacity of 60lb.<br />If it didn't sag so bad it would be 5 stars though. Easy install and works well, feels solid.",4,476
Worked as described,"Put these in for my 2021 Sienna sliding door speakers because the aftermarket 3.5"" speakers had too much bass and were rattling the panel. This is the perfect frequency, blocker. Still allowed the mids without the bass rattle.",5,226
Splits basic image fine. Can't handle high data,Picture shows ok on static image. However when using for XBOX picture cuts out during flashing action segments. Even on 720p. Picture will go completely black until action subsides then it will show static picture again.<br />Very poor quality.,1,244
Awesome having 6 plugs on one outlet.,"I have upwards of 30 Kasa switches, bulbs and other accessories in my house. They all work AMAZING. I love the app and all the options they keep adding. The smart features and customizability just works flawless.<br />They almost never lose connection and quickly respond to google assistant commands.<br />This is really nice because I can make routines through google home to turn everything off but still have specific items on or off at my desk. I have my work and personal pc, fans, lighting, headset, etc all on different switches. I actually have 2 additional single switches in the same area and they all work great together.<br />Super easy to wall mount and stays put very well.<br /><br />My only gripe is that the main power LEDs on the switch are a bit bright and they don't turn off at all. There is the main switch and 2 others. I hope they allow to turn them of or adjust the brightness in the future. But it's not a huge deal as it is under my desk. I just push my chair in front of it at night and it's not a bother.",5,1034
